SSPscen;region;technology;vehicleType;subsectorL3;subsectorL2;subsectorL1;sector;level;2020;2030;2040;2050;2100;2150
SSP1;JPN;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;9.67E-02;2.28E-01;3.59E-01;7.51E-01;7.51E-01
SSP1;LAM;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.29E-01;5.65E-01;1.00E+00;1.00E+00;1.00E+00
SSP1;MEA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;5.17E-02;3.19E-01;5.87E-01;1.00E+00;1.00E+00
SSP1;NEN;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;5.61E-02;1.40E-01;4.83E-01;8.27E-01;1.00E+00;1.00E+00
SSP1;NES;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;5.17E-02;2.00E-01;3.48E-01;6.93E-01;6.93E-01
SSP1;OAS;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.41E-01;5.71E-01;1.00E+00;1.00E+00;1.00E+00
SSP1;REF;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;7.24E-02;3.56E-01;6.40E-01;1.00E+00;1.00E+00
SSP1;SSA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;6.21E-02;4.27E-01;7.92E-01;1.00E+00;1.00E+00
SSP1;UKI;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;2.50E-02;1.17E-01;4.02E-01;6.87E-01;1.00E+00;1.00E+00
SSP1;USA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.12E-01;5.56E-01;1.00E+00;1.00E+00;1.00E+00
SSP2;CAZ;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.12E-01;2.77E-01;4.42E-01;9.74E-01;9.74E-01
SSP2;CHA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;1.50E-01;8.15E-01;1.31E+00;1.80E+00;1.80E+00;1.80E+00
SSP2;DEU;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.29E-01;2.48E-01;3.67E-01;7.80E-01;7.80E-01
SSP2;ECE;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.55E-01;3.42E-01;5.28E-01;1.00E+00;1.00E+00
SSP2;ECS;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;9.31E-02;2.37E-01;3.82E-01;8.42E-01;8.42E-01
SSP2;ENC;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;2.16E-01;4.69E-01;7.23E-01;1.00E+00;1.00E+00
SSP2;ESC;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.36E-01;2.59E-01;3.82E-01;8.45E-01;8.45E-01
SSP2;ESW;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;1.08E-02;1.16E-01;2.05E-01;2.93E-01;6.24E-01;6.24E-01
SSP2;EWN;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;8.79E-02;1.54E-01;2.20E-01;5.01E-01;5.01E-01
SSP2;FRA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;1.40E-02;1.68E-01;3.13E-01;4.58E-01;9.53E-01;9.53E-01
